"Dataset Index","Dose","N","Effect"
"exp_n834",0.87290390213946,30,1
"exp_n834",0.881188246592341,30,25
"exp_n834",0.883210450150142,4,0
"exp_n834",0.89535120453583,17,1
"exp_n834",0.896242110831679,30,5
"exp_n834",0.898303823454566,73,0
"exp_n834",0.920645870575438,4,0
"exp_n834",0.921415257641916,36,6
"exp_n834",0.952216226523539,2,1
"exp_n834",0.955402176424233,30,18
"exp_n834",0.958588061614422,30,30
"exp_n834",0.977945355338588,30,30
"exp_n834",1.01774004372829,30,19
"exp_n834",1.01913576324175,30,18
"exp_n834",1.02494309123652,30,24
"exp_n834",1.0373470982755,30,12
"exp_n834",1.066897716859,30,24
"exp_n834",1.09451165534446,30,28
"exp_n834",1.14478549827513,4,1
"exp_n835",0,30,0
"exp_n835",0.675747455204321,30,7
"exp_n835",0.684949773129761,2,0
"exp_n835",0.687437682075164,30,22
"exp_n835",0.722952439512413,30,7
"exp_n835",0.727486234159418,30,24
"exp_n835",0.729515857577483,30,3
"exp_n835",0.731983914696073,2,0
"exp_n835",0.73533118235114,71,0
"exp_n835",0.74716765786955,3,3
"exp_n835",0.752614139552666,3,0
"exp_n835",0.754325113523104,30,5
"exp_n835",0.790259387925816,30,20
"exp_n835",0.799618305359271,30,26
"exp_n835",0.812092691610267,5,0
"exp_n835",0.812444760634244,30,1
"exp_n835",0.812964225927889,30,3
"exp_n835",0.815699462722529,1,0
"exp_n835",0.818372654874414,30,1
"exp_n835",0.825545390103611,4,0
"exp_n835",0.830879288063818,30,30
"exp_n835",0.835507303019551,4,0
"exp_n835",0.838210832646995,30,1
"exp_n835",0.868921128326868,30,2
"exp_n835",0.883808752787179,73,0
"exp_n835",0.892486092230311,30,3
"exp_n835",0.895575154492135,30,3
"exp_n835",0.897412109532984,17,1
"exp_n835",0.90297422140602,36,3
"exp_n835",0.905332949677152,30,28
"exp_n835",0.923082268637485,2,1
"exp_n835",0.926318591723839,30,18
"exp_n835",0.95795110524545,30,29
